2,1,0.08
1,2,0.08
3,2,0.08
2,3,0.08
4,3,0.08
6,3,0.039
3,4,0.08
5,4,0.08
15,4,0.08
62,4,0.0121
4,5,0.08
7,5,0.08
59,5,0.0251
77,5,0.0245
3,6,0.039
29,6,0.0
109,6,0.0
5,7,0.08
8,7,0.08
12,7,0.03
74,7,0.031
7,8,0.08
9,8,0.08
23,8,0.0453
82,8,0.0415
8,9,0.08
10,9,0.08
9,10,0.08
11,10,0.08
16,10,0.08
25,10,0.0767
10,11,0.08
13,11,0.08
7,12,0.03
93,12,0.0075
11,13,0.08
14,13,0.08
19,13,0.08
92,13,0.0178
13,14,0.08
28,14,0.08
39,14,0.08
4,15,0.08
31,15,0.08
10,16,0.08
17,16,0.08
16,17,0.08
18,17,0.08
27,17,0.0674
17,18,0.08
22,18,0.08
37,18,0.08
55,18,0.0517
13,19,0.08
20,19,0.08
30,19,0.062
40,19,0.041
75,19,0.022
19,20,0.08
21,20,0.08
20,21,0.08
26,21,0.08
41,21,0.08
18,22,0.08
24,22,0.08
34,22,0.08
42,22,0.0335
8,23,0.0453
46,23,0.0
22,24,0.08
36,24,0.08
98,24,0.0007
10,25,0.0767
48,25,0.08
64,25,0.0265
68,25,0.035
21,26,0.08
17,27,0.0674
14,28,0.08
35,28,0.08
6,29,0.0
19,30,0.062
32,30,0.0
61,30,0.07
15,31,0.08
33,31,0.08
44,31,0.0346
30,32,0.0
31,33,0.08
38,33,0.0708
51,33,0.0239
22,34,0.08
47,34,0.08
28,35,0.08
50,35,0.08
24,36,0.08
58,36,0.08
63,36,0.0151
18,37,0.08
67,37,0.08
78,37,0.0094
33,38,0.0708
65,38,0.0
14,39,0.08
43,39,0.02
99,39,0.0205
19,40,0.041
53,40,0.0
21,41,0.08
45,41,0.08
22,42,0.0335
39,43,0.02
31,44,0.0346
41,45,0.08
49,45,0.08
23,46,0.0
34,47,0.08
57,47,0.0184
71,47,0.08
88,47,0.0784
25,48,0.08
86,48,0.057
45,49,0.08
54,49,0.08
35,50,0.08
52,50,0.0328
56,50,0.08
104,50,0.0286
33,51,0.0239
70,51,0.0
91,51,0.0226
50,52,0.0328
84,52,0.08
40,53,0.0
49,54,0.08
66,54,0.08
18,55,0.0517
72,55,0.0
50,56,0.08
60,56,0.0459
83,56,0.0255
47,57,0.0184
36,58,0.08
101,58,0.08
106,58,0.0286
5,59,0.0251
56,60,0.0459
30,61,0.07
4,62,0.0121
36,63,0.0151
25,64,0.0265
38,65,0.0
54,66,0.08
69,66,0.08
73,66,0.0091
95,66,0.08
37,67,0.08
25,68,0.035
66,69,0.08
79,69,0.08
100,69,0.0241
51,70,0.0
47,71,0.08
87,71,0.08
108,71,0.0406
55,72,0.0
66,73,0.0091
80,73,0.0
7,74,0.031
81,74,0.0
85,74,0.0
19,75,0.022
76,75,0.0
75,76,0.0
5,77,0.0245
89,77,0.0273
37,78,0.0094
69,79,0.08
90,79,0.08
97,79,0.0722
73,80,0.0
74,81,0.0
8,82,0.0415
107,82,0.0231
56,83,0.0255
52,84,0.08
74,85,0.0
48,86,0.057
71,87,0.08
96,87,0.0145
47,88,0.0784
94,88,0.0696
77,89,0.0273
79,90,0.08
110,90,0.0662
51,91,0.0226
13,92,0.0178
12,93,0.0075
88,94,0.0696
103,94,0.08
66,95,0.08
87,96,0.0145
102,96,0.0332
79,97,0.0722
24,98,0.0007
39,99,0.0205
69,100,0.0241
58,101,0.08
105,101,0.0774
96,102,0.0332
94,103,0.08
50,104,0.0286
101,105,0.0774
58,106,0.0286
82,107,0.0231
71,108,0.0406
6,109,0.0
90,110,0.0662
